condition,task,metric,lower_is_better,seed,steps,valid,buggy,best_score,ns,has_valid
nat,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,2,50,33,17,0.38,0.16789019112597284,True
nat,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,3,48,22,26,0.39666666666666667,0.17746049458353716,True
baseline,ReadingComprehensionSquadExactMatch,ExactMatch,False,3,45,14,31,0.828476821192053,0.9032283302211727,True
baseline,ReadingComprehensionSquadExactMatch,ExactMatch,False,4,10,2,8,0.6716177861873226,0.5705010311366397,True
baseline,ReadingComprehensionSquadExactMatch,ExactMatch,False,5,23,11,12,0.7634815515610217,0.7386178714031048,True
abl,ReadingComprehensionSquadExactMatch,ExactMatch,False,1,26,3,23,0.6783349101229896,0.5810891793232121,True
abl,ReadingComprehensionSquadExactMatch,ExactMatch,False,2,18,2,16,0.2914853358561968,0.17653544778974647,True
abl,ReadingComprehensionSquadExactMatch,ExactMatch,False,3,31,6,25,0.7626300851466414,0.7367768531367733,True
nat,ReadingComprehensionSquadExactMatch,ExactMatch,False,1,48,12,36,0.7713339640491959,0.7559154491433987,True
nat,ReadingComprehensionSquadExactMatch,ExactMatch,False,2,45,18,27,0.8074739829706717,0.8440494701296241,True
nat,ReadingComprehensionSquadExactMatch,ExactMatch,False,3,35,4,31,0.7247871333964049,0.6609927589736534,True
baseline,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,3,7,0,7,,0.0,False
baseline,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,4,9,0,9,,0.0,False
baseline,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,5,6,0,6,,0.0,False
abl,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,1,8,2,6,0.67848,0.715983423236236,True
abl,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,2,12,3,9,0.69532,0.757236574621356,True
abl,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,3,14,5,9,0.70536,0.7829310026023037,True
nat,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,1,40,14,26,0.69922,0.767115473433299,True
nat,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,2,25,4,21,0.5753,0.5025595833609177,True
nat,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,3,34,20,14,0.69648,0.7601616393431467,True
baseline,TextualClassificationSickAccuracy,Accuracy,False,3,50,24,26,0.9021606196494089,0.9865956898906888,True
baseline,TextualClassificationSickAccuracy,Accuracy,False,4,50,27,23,0.9180595189563799,1.0673093953710298,True
baseline,TextualClassificationSickAccuracy,Accuracy,False,5,50,36,14,0.8999184671830411,0.9762828739071623,True
abl,TextualClassificationSickAccuracy,Accuracy,False,1,50,14,36,0.9258051365674684,1.1125050525623423,True
abl,TextualClassificationSickAccuracy,Accuracy,False,2,31,15,16,0.9282511210762332,1.1277629301206809,True
abl,TextualClassificationSickAccuracy,Accuracy,False,3,50,18,32,0.9227476559315124,1.0941250024292708,True
nat,TextualClassificationSickAccuracy,Accuracy,False,1,39,15,24,0.9194863432531594,1.0753047203326669,True
nat,TextualClassificationSickAccuracy,Accuracy,False,2,50,27,23,0.9209131675499389,1.0834430088467861,True
nat,TextualClassificationSickAccuracy,Accuracy,False,3,50,26,24,0.9251936404402772,1.1087691843309926,True
baseline,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,3,50,2,48,627.7283373630603,0.9791703802711997,True
baseline,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,4,50,1,49,1629.828156958606,0.7464328969191144,True
baseline,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,5,50,1,49,1390.1511836677128,0.7852326448885192,True
abl,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,1,50,30,20,748.0382387481467,0.9363983736729851,True
abl,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,2,50,20,30,717.1479802565166,0.9466852927871847,True
abl,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,3,50,24,26,778.7319123982625,0.9265893455909364,True
nat,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,1,50,37,13,1059.662658633272,0.8514498934502439,True
nat,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,2,48,32,16,791.9685265399986,0.9224779802111978,True
nat,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,3,50,34,16,812.6222908409843,0.9161981030337795,True
